Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,50.49,49.76,51.11,49.3,6.02M,2.52,AAL,1.035532995,2.260583642,4.013377926,,,
29-Nov-17,49.25,49.38,51.16,48.66,8.15M,0.06,AAL,0.325071109,1.500513875,5.467748825,,,
28-Nov-17,49.22,48.44,49.42,48.2,3.86M,1.65,AAL,0.041305246,1.572656741,2.518518519,,,
27-Nov-17,48.42,48.61,48.83,48.3,2.63M,-0.29,AAL,0.102965404,2.574382781,2.207737595,,,
24-Nov-17,48.56,48.66,48.76,48.35,1.35M,-0.21,AAL,0,2.055369128,0.102859494,,,
22-Nov-17,48.66,48.58,48.97,48.27,2.33M,0.02,AAL,-0.143884892,2.945539309,-4.78243826,,,
21-Nov-17,48.65,47.89,48.92,47.54,2.80M,2.01,AAL,0.419375131,4.540493342,-7.81520693,,,
20-Nov-17,47.69,47.33,47.88,47.12,2.44M,0.63,AAL,-0.126608989,3.476169655,-7.159670459,,,
17-Nov-17,47.39,47.6,47.75,47.19,2.32M,-0.61,AAL,-0.167785235,3.884766478,-8.338147506,,,
16-Nov-17,47.68,47.26,48.06,47.24,4.46M,1.04,AAL,0.148336512,3.255407472,-8.250825083,,,
15-Nov-17,47.19,45.71,47.31,45.45,5.22M,3.01,AAL,-0.218292949,-1.423334052,-12.14683836,,,
14-Nov-17,45.81,45.3,45.97,45.27,1.83M,0.15,AAL,-0.961958898,-2.496771416,-13.00172844,,,
13-Nov-17,45.74,45.63,45.86,45.33,1.77M,-0.17,AAL,-0.414666085,-3.957061671,-12.70327148,,,
10-Nov-17,45.82,45.64,46.12,45.56,2.43M,0.11,AAL,-0.28402884,-3.814541623,-13.39658444,,,
9-Nov-17,45.77,45.85,46.35,45.36,3.56M,-1.29,AAL,-1.121414708,-3.188344595,-12.91547958,,,
8-Nov-17,46.37,46.42,46.98,45.84,3.20M,-0.19,AAL,-0.086095566,-2.968227425,-12.13325762,,,
7-Nov-17,46.46,47.51,47.54,46.4,3.76M,-2.21,AAL,0,1.473729176,-10.40920234,,,
6-Nov-17,47.51,47.46,48.1,47.28,4.25M,0.13,AAL,0.021074816,0.444444444,-6.205533597,,,
3-Nov-17,47.45,47.36,47.61,46.8,4.04M,0.19,AAL,0,-0.420521447,-7.680311891,,,
2-Nov-17,47.36,47.79,47.93,47.09,2.41M,-1,AAL,-0.10451505,-1.6868957,-5.478639241,,,
1-Nov-17,47.84,48,48.2,47.37,4.35M,2.18,AAL,2.520290474,-5.919247354,-5.381431106,,,
31-Oct-17,46.82,47.22,47.6,46.79,4.60M,-0.91,AAL,-0.063492063,-9.104908566,-6.513561671,,,
30-Oct-17,47.25,47.65,47.67,46.83,5.40M,-0.65,AAL,0.189234651,-6.531973323,-0.16760947,,,
27-Oct-17,47.56,48.41,48.89,47.33,8.59M,-2.16,AAL,-0.411437976,-6.778355479,1.937249947,,,
26-Oct-17,48.61,52,53.19,48.32,12.08M,-4.72,AAL,1.920815367,0.951271598,9.496736155,,,
25-Oct-17,51.02,51.78,51.78,50.61,4.66M,-1.79,AAL,-0.327237729,-0.480492024,10.52294557,,,
24-Oct-17,51.95,51.02,52.1,50.55,3.65M,1.9,AAL,0.078462142,-2.016516228,7.229928541,,,
23-Oct-17,50.98,51.92,51.95,50.87,3.46M,-1.83,AAL,-0.019256692,-0.669600153,8.846960168,,,
20-Oct-17,51.93,51.56,52.24,51.53,3.64M,0.82,AAL,0.09706853,-2.163187856,9.562260943,,,
19-Oct-17,51.51,51.57,51.83,49.63,7.57M,-1,AAL,-0.884105324,-2.051282051,11.40635126,,,
18-Oct-17,52.03,52.11,52.44,51.86,2.54M,-0.08,AAL,0.076819666,-1.36286201,14.72919419,,,
17-Oct-17,52.07,52.72,52.82,51.87,3.65M,-0.38,AAL,0.860914482,-0.584574769,18.79224876,,,
16-Oct-17,52.27,52.52,52.68,51.93,3.26M,-0.82,AAL,-0.341555977,3.794466403,15.91260207,,,
13-Oct-17,52.7,52.67,52.86,52.26,2.96M,0.09,AAL,0.037986705,2.670565302,14.5,,,
12-Oct-17,52.65,52.72,52.83,52.34,2.94M,-0.34,AAL,-0.208215029,4.272151899,14.13725915,,,
11-Oct-17,52.83,53.1,53.74,52.33,5.40M,-0.38,AAL,0.132000754,4.671791839,12.9787234,,,
10-Oct-17,53.03,52,53.25,51.98,9.39M,4.8,AAL,2.766798419,2.949910909,12.3352776,,,
9-Oct-17,50.6,51.23,51.48,50.4,3.69M,-1.36,AAL,-0.136452242,7.33291431,11.70955081,,,
6-Oct-17,51.3,50.7,51.59,50.65,4.24M,1.46,AAL,0.276898734,6.759317751,16.28440367,,,
5-Oct-17,50.56,50.85,50.99,50.26,4.21M,-0.34,AAL,0.236546422,7.075173721,15.9899635,,,
4-Oct-17,50.73,50.5,51.67,50.49,7.45M,0.44,AAL,-0.01979806,7.790821772,13.96975852,,,
3-Oct-17,50.51,47.66,50.59,47.63,10.26M,5.82,AAL,-0.146658286,0.168137873,8.515482696,,,
2-Oct-17,47.73,47.52,47.93,47.22,4.91M,0.51,AAL,0.063171194,-0.377358491,4.877510483,,,
29-Sep-17,47.49,47.49,47.85,47.23,4.90M,0,AAL,0,0.913727157,6.146624944,,,
28-Sep-17,47.49,46.78,48.6,46.78,8.37M,1.37,AAL,-0.14941302,1.058543962,5.550541516,,,
27-Sep-17,46.85,47.58,48.1,46.63,6.18M,-1.53,AAL,0,4.755614267,6.777378815,,,
26-Sep-17,47.58,47.84,48.26,47.23,4.71M,-0.25,AAL,0.293501048,7.796304642,6.429365962,,,
25-Sep-17,47.7,46.98,47.96,46.89,6.36M,1.36,AAL,-0.16999575,3.685720591,3.82320442,,,
22-Sep-17,47.06,46.57,47.46,46.35,5.34M,1.66,AAL,0.604882264,1.239130435,8.504193849,,,
21-Sep-17,46.29,45.47,46.57,44.99,5.86M,1.92,AAL,0.110083664,-1.558778956,3.411416875,,,
20-Sep-17,45.42,44.92,45.56,44.46,4.71M,2.34,AAL,1.216764308,-4.425531915,-1.079057476,,,
19-Sep-17,44.38,45.28,45.66,44.03,6.88M,-2.05,AAL,-0.06621055,-2.181896738,-0.940713192,,,
18-Sep-17,45.31,46.02,46.3,45.27,4.60M,-1.5,AAL,0.043478261,0.34888792,1.03183315,,,
15-Sep-17,46,45.3,46.04,45.19,14.85M,-0.41,AAL,-1.926823988,3.899082569,-1.585922225,,,
14-Sep-17,46.19,46.79,46.94,46.12,5.36M,-1.72,AAL,-0.446808511,6.729014599,-3.34641603,,,
13-Sep-17,47,46.35,47.58,46.1,7.29M,1.53,AAL,0.129617628,4.603926879,-4.472382523,,,
12-Sep-17,46.29,45.9,46.48,45.63,6.33M,0.94,AAL,0.08722198,4.508196721,-5.961893055,,,
11-Sep-17,45.86,44.01,46.09,44,7.92M,5.18,AAL,0.940366972,-2.869123814,-8.976215098,,,
8-Sep-17,43.6,43.81,44.11,43.49,4.68M,-0.55,AAL,-0.068430657,-2.078676799,-9.763130793,,,
7-Sep-17,43.84,44.19,44.62,43.53,5.10M,-1.06,AAL,-0.270819228,-0.2933213,-10.5465587,,,
6-Sep-17,44.31,43.09,44.68,42.61,8.80M,0.89,AAL,-1.889799636,-3.298922801,-13.82,,,
5-Sep-17,43.92,44.79,45.28,43.84,8.51M,-3.07,AAL,-1.147649525,-0.355951057,-11.44721234,,,
1-Sep-17,45.31,44.85,45.47,44.65,4.57M,1.27,AAL,0.245864998,-0.883977901,-11.71259843,,,
31-Aug-17,44.74,44.54,44.94,44.43,3.80M,0.95,AAL,0.496389892,3.774464119,-11.8892186,,,
30-Aug-17,44.32,44.54,44.77,43.89,5.47M,-0.54,AAL,-0.044883303,1.296338413,-11.71456888,,,
29-Aug-17,44.56,44.53,44.85,44.38,5.20M,-0.87,AAL,-0.934371524,-1.937899141,-12.78887583,,,
28-Aug-17,44.95,45.23,45.37,44.78,6.97M,-0.66,AAL,-0.044198895,-1.050098447,-10.32910389,,,
25-Aug-17,45.25,43.09,45.43,43.01,11.74M,5.43,AAL,0.396085741,-5.400658617,-14.6563676,,,
24-Aug-17,42.92,44.13,44.15,42.67,7.06M,-2.39,AAL,0.363884467,-4.127742776,-11.74,,,
23-Aug-17,43.97,45.17,45.24,43.52,8.16M,-3.17,AAL,-0.528517948,-6.692832059,-11.44873554,,,
22-Aug-17,45.41,45.85,45.93,45.33,4.02M,-0.66,AAL,0.306278714,-5.502885408,-9.405255878,,,
21-Aug-17,45.71,45.73,46.09,45.41,4.35M,0.35,AAL,0.395170143,-6.31018234,-10.82293292,,,
18-Aug-17,45.55,46.3,46.3,45.44,6.24M,-1.04,AAL,0.586573973,-4.23991727,-10.80716625,,,
17-Aug-17,46.03,48.25,48.34,45.8,10.30M,-4.92,AAL,-0.330510225,-0.61791967,-7.814291173,,,
16-Aug-17,48.41,48.64,48.73,48.27,4.19M,-0.23,AAL,0.247320692,-1.538461538,-7.546093898,,,
15-Aug-17,48.52,48.76,49,48.35,3.15M,-0.59,AAL,-0.102438025,-2.48,-8.259642521,,,
14-Aug-17,48.81,48.86,49.17,48.5,3.00M,0.95,AAL,1.054808687,-3.400553578,-9.300167069,,,
11-Aug-17,48.35,48.5,48.78,47.44,5.61M,-0.41,AAL,-0.102986612,-4.527559055,-10.54961269,,,
10-Aug-17,48.55,49.03,49.34,48.19,5.44M,-1.72,AAL,-0.748987854,-3.006923838,-8.883107229,,,
9-Aug-17,49.4,49.74,49.92,49.23,5.02M,-1.2,AAL,-0.52,-1.407333994,-7.546468401,,,
8-Aug-17,50,50.68,50.78,49.89,4.27M,-1.15,AAL,0.197706603,-0.744222483,-1.801976361,,,
7-Aug-17,50.58,50.82,51.13,50.46,3.02M,-0.43,AAL,0.039370079,0.753370341,-3.494113179,,,
4-Aug-17,50.8,50.67,50.92,50.39,2.99M,0.49,AAL,0.237388724,0.356506239,-4.450311145,,,
3-Aug-17,50.55,50.56,51.2,50.36,3.23M,0.2,AAL,0.218037661,1.12,-2.862632085,,,
2-Aug-17,50.45,50.89,51.18,49.9,4.68M,-1.19,AAL,-0.332941637,-0.235247991,-0.721810378,,,
1-Aug-17,51.06,51.13,52,50.32,5.05M,1.23,AAL,1.367961935,1.027464928,1.468545346,,,
31-Jul-17,50.44,50.85,51.23,50.03,6.06M,-0.1,AAL,0.713012478,-0.838533541,1.053259141,,,
28-Jul-17,50.49,49.02,50.67,48.73,9.15M,0.98,AAL,-1.96,-5.567328068,-1.209189843,,,
27-Jul-17,50,50.34,50.34,48.75,10.26M,-1.98,AAL,-1.313467947,-3.821169278,2.21319797,,,
26-Jul-17,51.01,50.63,51.16,50.01,4.78M,0.79,AAL,0.039517882,-3.763543053,4.391752577,,,
25-Jul-17,50.61,51.5,51.9,50.55,4.48M,-1.31,AAL,0.429017161,-3.104421449,5.576055761,,,
24-Jul-17,51.28,51.79,52.03,51.24,4.88M,-1.21,AAL,-0.231169332,-3.861147206,6.498046473,,,
21-Jul-17,51.91,52.13,52.55,51.45,4.54M,-0.82,AAL,-0.401222774,-3.854666175,6.452930366,,,
20-Jul-17,52.34,52.72,52.78,52.1,4.84M,-0.51,AAL,0.209085725,-2.025645791,8.858145777,,,
19-Jul-17,52.61,52.26,53.19,51.78,5.77M,-1.02,AAL,-1.674506115,-2.862453532,8.806995628,,,
18-Jul-17,53.15,53.83,53.84,53.02,4.10M,-1.34,AAL,-0.074252831,4.301491959,8.397100282,,,
17-Jul-17,53.87,54.21,54.28,53.85,3.73M,-0.65,AAL,-0.018443379,2.943410558,11.10883378,,,
14-Jul-17,54.22,53.8,54.28,53.34,4.54M,0.76,AAL,-0.018583906,1.452008297,9.549989819,,,
13-Jul-17,53.81,53.4,54.48,53.15,5.35M,0.02,AAL,-0.743494424,2.593659942,8.11905244,,,
12-Jul-17,53.8,53.12,53.83,52.45,8.35M,4.24,AAL,2.925789576,3.628560281,7.421638018,,,
11-Jul-17,51.61,52.58,52.66,51.47,4.55M,-1.99,AAL,-0.151917964,4.346100417,6.265157639,,,
10-Jul-17,52.66,52.98,53.16,52.23,4.60M,-0.7,AAL,-0.094286253,5.286168521,5.390889198,,,
7-Jul-17,53.03,52.3,53.38,52.18,6.60M,1.88,AAL,0.480307397,5.401047965,1.691619677,,,
6-Jul-17,52.05,50.97,52.58,50.86,7.02M,1.54,AAL,-0.56574327,3.492385787,0.216279984,,,
5-Jul-17,51.26,50.44,51.55,50.18,5.16M,1.73,AAL,0.099226037,4,1.407318054,,,
3-Jul-17,50.39,50.78,51.28,50.37,2.91M,0.14,AAL,0.914149444,4.100041,2.090872537,,,
30-Jun-17,50.32,49.92,50.51,49.6,6.62M,1.41,AAL,0.604594921,2.652683529,0.807754443,,,
29-Jun-17,49.62,49.28,49.69,48.82,6.17M,0.75,AAL,0.060913706,0.633040637,0.468909276,,,
28-Jun-17,49.25,48.82,49.8,48.81,4.26M,1.55,AAL,0.659793814,0.80528598,0.846932452,,,
27-Jun-17,48.5,48.6,49.55,48.5,4.26M,-0.57,AAL,-0.36900369,1.186758276,1.334445371,,,
26-Jun-17,48.78,48.81,49.78,48.53,3.99M,0.31,AAL,0.370141888,-1.711639146,0.143619204,,,
23-Jun-17,48.63,49,49.1,48.47,12.68M,-0.69,AAL,0.061261997,0.430416069,2.040816327,,,
22-Jun-17,48.97,50.5,50.56,48.79,9.79M,1.12,AAL,4.2742102,2.830380778,7.975197776,,,
21-Jun-17,48.43,48.33,48.64,48.13,3.47M,0.83,AAL,0.624609619,-2.146183438,3.579082726,,,
20-Jun-17,48.03,49.22,49.36,48.01,6.04M,-3.28,AAL,-0.88602497,-0.465116279,6.513741614,,,
19-Jun-17,49.66,49.13,49.72,48.81,4.10M,1.78,AAL,0.696864111,-0.707356508,8.646616541,,,
16-Jun-17,48.79,48.9,49.45,48.62,6.62M,-0.65,AAL,-0.427611484,-2.725283469,9.518477044,,,
15-Jun-17,49.11,49.14,49.32,48.37,4.58M,-0.57,AAL,-0.506175339,-4.452654093,9.394479074,,,
14-Jun-17,49.39,49.64,49.78,48.89,4.03M,-0.12,AAL,0.384226491,-2.398741644,5.75202386,,,
13-Jun-17,49.45,49.56,49.91,48.84,5.15M,-0.06,AAL,0.161681487,-0.361881785,6.16966581,,,
12-Jun-17,49.48,50.1,50.22,48.1,8.60M,-1.57,AAL,-0.338173861,0.723763571,9.317041239,,,
9-Jun-17,50.27,51.61,51.95,50.25,7.20M,-2.26,AAL,0.349990278,4.220516963,10.89385475,,,
8-Jun-17,51.43,50.86,51.87,50.41,6.54M,1.12,AAL,0,3.69011213,7.526427061,,,
7-Jun-17,50.86,49.44,50.91,48.8,7.08M,2.25,AAL,-0.603136309,2.127659574,5.012744265,,,
6-Jun-17,49.74,49.47,50.1,49.32,4.47M,0,AAL,-0.542822678,3.148457048,10.08010681,,,
5-Jun-17,49.74,49.53,49.95,49.4,5.47M,0.44,AAL,0.020193861,1.620845302,11.27836441,,,
2-Jun-17,49.52,49.56,50.47,49.37,7.71M,0.96,AAL,1.039755352,3.206997085,12.86722842,,,
1-Jun-17,49.05,48.5,49.36,48.3,4.42M,1.32,AAL,0.185912002,3.69895232,10.428051,,,
31-May-17,48.41,48.2,48.48,47.53,4.49M,0.94,AAL,0.500417014,3.300471496,9.870070663,,,
30-May-17,47.96,48.32,48.58,47.79,5.51M,-1.6,AAL,-0.861715224,4.566111231,14.82889734,,,
26-May-17,48.74,47.79,48.82,47.73,5.98M,1.5,AAL,-0.478967097,5.683325962,12.13045519,,,
25-May-17,48.02,46.99,48.12,46.82,5.44M,2.67,AAL,0.470387,5.240761478,6.844020009,,,
24-May-17,46.77,46.74,47.43,46.65,3.89M,0.24,AAL,0.171453065,4.051647373,0.732758621,,,
23-May-17,46.66,46.27,46.69,45.94,3.01M,0.97,AAL,0.129842026,-1.427354069,-0.729457198,,,
22-May-17,46.21,45.33,46.25,45.33,4.43M,2.19,AAL,0.243255197,-2.892030848,-2.390180879,,,
19-May-17,45.22,44.8,45.38,44.74,6.74M,1.28,AAL,0.335946249,-2.247436177,-0.775193798,,,
18-May-17,44.65,44.4,45.4,44.38,6.63M,-0.6,AAL,-1.157613535,-4.598195101,-1.813356922,,,
17-May-17,44.92,46.25,46.56,44.88,6.91M,-4.3,AAL,-1.469961653,-2.21987315,4.166666667,,,
16-May-17,46.94,46.79,47.13,44.74,4.63M,0.56,AAL,0.235646958,-0.615972812,6.802099977,,,
15-May-17,46.68,45.7,46.99,45.69,5.53M,1.85,AAL,-0.283656993,1.691143747,3.323536061,,,
12-May-17,45.83,46.26,46.44,45.73,3.89M,-1.53,AAL,-0.601633004,3.931700741,6.712802768,,,
11-May-17,46.54,47.21,47.24,45.65,6.09M,-1.61,AAL,-0.190274841,7.515372353,7.393084622,,,
10-May-17,47.3,47.03,47.78,46.67,7.38M,0.47,AAL,-0.106202209,7.081056466,7.056681084,,,
9-May-17,47.08,45.4,47.3,45.25,11.12M,4.76,AAL,1.023587005,3.487576932,7.277882798,,,
8-May-17,44.94,44.6,45.05,44.52,6.19M,0.97,AAL,0.202201752,5.988593156,6.673044726,,,
5-May-17,44.51,44,44.52,43.77,5.46M,1.37,AAL,0.204964701,3.237916471,5.465004794,,,
4-May-17,43.91,44.18,44.39,43.2,4.48M,-0.02,AAL,0.591985428,0.45475216,6.947470346,,,
3-May-17,43.92,43.67,44.17,43.42,5.14M,0.11,AAL,-0.455892409,-5.88362069,6.772616137,,,
2-May-17,43.87,42.06,43.91,42.05,9.40M,4.25,AAL,-0.047528517,-9.761853679,-0.918727915,,,
1-May-17,42.08,42.76,42.96,42.01,8.59M,-1.27,AAL,0.32848428,-7.924203273,1.087470449,,,
28-Apr-17,42.62,44.02,44.06,42.56,13.36M,-3.09,AAL,0.090950432,-2.502768549,3.479078514,,,
27-Apr-17,43.98,43.91,44.21,42.41,18.99M,-5.22,AAL,-5.36637931,-2.896948253,4.647283127,,,
26-Apr-17,46.4,46.51,46.9,46.24,6.03M,-0.45,AAL,-0.214546235,4.752252252,9.178403756,,,
25-Apr-17,46.61,46.8,47.39,46.38,5.96M,0.37,AAL,0.775193798,6.824925816,12.12266411,,,
24-Apr-17,46.44,45.5,46.44,45.47,6.34M,2.86,AAL,0.775193798,2.871354284,9.034267913,,,
21-Apr-17,45.15,45.5,45.5,44.98,5.54M,-0.15,AAL,0.619195046,4.959630911,9.876841343,,,
20-Apr-17,45.22,44.71,45.38,44.56,4.96M,1.85,AAL,0.698198198,1.706096451,10.80545229,,,
19-Apr-17,44.4,44.07,44.77,43.9,6.57M,1.35,AAL,0.59347181,0.318688823,9.030183078,,,
18-Apr-17,43.81,44.03,44.53,43.4,5.81M,-0.95,AAL,-0.452181777,4.040642722,5.587529976,,,
17-Apr-17,44.23,43.47,44.25,43.36,4.56M,2.03,AAL,0.276816609,3.970342023,4.194630872,,,
13-Apr-17,43.35,43.95,44.02,43.34,5.50M,-1.39,AAL,-0.022747953,5.345158198,4.319962022,,,
12-Apr-17,43.96,44.79,45.35,43.83,9.99M,0.07,AAL,1.957659913,8.424110385,6.414825374,,,
11-Apr-17,43.93,42.78,43.95,42.41,10.27M,3.8,AAL,1.086956522,4.596577017,3.809754914,,,
10-Apr-17,42.32,41.81,42.67,41.62,4.65M,1.22,AAL,0,-1.507656066,-1.321689875,,,
7-Apr-17,41.81,41.53,42.1,41.28,4.14M,0.22,AAL,-0.455417066,-1.820330969,-5.398633257,,,
6-Apr-17,41.72,41.4,41.96,41.16,3.63M,0.99,AAL,0.217864924,-2.679830748,-4.454188784,,,
5-Apr-17,41.31,41.15,42.13,41.06,7.01M,1,AAL,0.611246944,-1.930409914,-8.331476944,,,
4-Apr-17,40.9,42.09,42.23,40.82,7.25M,-3.65,AAL,-0.848056537,-1.197183099,-6.132917038,,,
3-Apr-17,42.45,42.33,42.57,41.62,5.76M,0.35,AAL,0.070921986,1.413512218,-6.576914588,,,
31-Mar-17,42.3,42.37,42.94,42.27,5.43M,-0.56,AAL,-0.399623883,1.533668823,-9.504485263,,,
30-Mar-17,42.54,41.85,42.64,41.79,3.68M,1.38,AAL,-0.262154433,1.062545279,-8.464566929,,,
29-Mar-17,41.96,42.69,42.76,41.87,5.33M,-1.5,AAL,0.211267606,5.799256506,-9.343809726,,,
28-Mar-17,42.6,41.83,42.93,41.55,6.19M,2.06,AAL,0.215620508,3.488372093,-9.771354616,,,
27-Mar-17,41.74,41.07,41.89,40.56,6.05M,0.02,AAL,-1.581595974,-1.510791367,-11.33419689,,,
24-Mar-17,41.73,41.69,42.06,41.42,6.60M,0.77,AAL,0.676165177,-0.071907958,-9.917891098,,,
23-Mar-17,41.41,40.7,41.86,40.48,9.52M,2.63,AAL,0.867410161,-3.394255875,-11.71366594,,,
22-Mar-17,40.35,39.78,40.55,39.21,9.94M,-0.17,AAL,-1.583374567,-5.488239487,-14.11917098,,,
21-Mar-17,40.42,41.88,41.98,40.34,7.94M,-3.07,AAL,0.431654676,1.625818976,-10.53193762,,,
20-Mar-17,41.7,42.18,42.41,41.45,6.23M,-0.05,AAL,1.102588686,-0.448430493,-10.08313792,,,
17-Mar-17,41.72,42,42.21,41.6,10.19M,-0.97,AAL,-0.308568716,-4.328018223,-10.58122206,,,
16-Mar-17,42.13,42.18,42.35,41.45,7.06M,0.1,AAL,0.213827512,-2.654050312,-11.27471603,,,
15-Mar-17,42.09,40.5,42.19,40.21,13.99M,2.14,AAL,-1.722882795,-9.779460904,-13.03414215,,,
14-Mar-17,41.21,42.06,42.1,40.84,10.21M,-2.74,AAL,-0.731649752,-6.199821588,-11.28453913,,,
13-Mar-17,42.37,43.73,44.12,42.26,8.88M,-3.49,AAL,-0.387243736,-3.487088943,-5.855758881,,,
10-Mar-17,43.9,43.46,43.95,42.97,6.84M,1.32,AAL,0.300023079,-7.176420333,-6.133909287,,,
9-Mar-17,43.33,44.5,44.93,43.25,9.33M,-3.48,AAL,-0.868790376,-2.668416448,-1.242787395,,,
8-Mar-17,44.89,44.79,45.3,44.6,5.52M,0.11,AAL,-0.111507583,-4.884264175,-0.841266327,,,
7-Mar-17,44.84,45.02,45.23,44.56,4.57M,-1.04,AAL,-0.640035312,-2.890422778,-0.618101545,,,
6-Mar-17,45.31,46.41,46.68,44.38,11.34M,-3.23,AAL,-0.875694148,0.194300518,5,,,
3-Mar-17,46.82,45.85,47.26,45.77,7.26M,2.41,AAL,0.284339458,-0.929127053,4.180867985,,,
2-Mar-17,45.72,46.67,46.74,45.64,7.59M,-2.91,AAL,-0.89190911,1.236442516,5.947786606,,,
1-Mar-17,47.09,46.79,48.13,46.7,8.28M,1.57,AAL,0.927523727,1.014680484,5.740112994,,,
28-Feb-17,46.36,46.32,46.72,46.03,4.94M,0.09,AAL,0,-1.046784875,3.162583519,,,
27-Feb-17,46.32,46.18,46.36,45.68,4.13M,0.09,AAL,-0.216076059,-1.556171392,-1.640042599,,,
24-Feb-17,46.28,46,46.3,45.58,4.49M,0.39,AAL,-0.21691974,-2.065147967,-7.239362775,,,
23-Feb-17,46.1,46.42,47.32,45.89,5.25M,-0.47,AAL,0.215889465,-2.355910812,-3.109997913,,,
22-Feb-17,46.32,46.5,46.7,45.87,5.80M,-1.05,AAL,-0.662251656,-0.150311359,-2.187631468,,,
21-Feb-17,46.81,47.01,47.27,46.58,4.67M,-0.21,AAL,0.213174163,-0.84370386,0.149126545,,,
17-Feb-17,46.91,46.83,47.1,46.43,4.58M,-0.13,AAL,-0.298062593,0.818083961,-2.4375,,,
16-Feb-17,46.97,47.5,47.65,46.66,5.68M,-1.2,AAL,-0.084139672,2.591792657,0.507829031,,,
